103.214.92.0/24,DE,,Berlin,
103.214.93.0/24,PL,,Warsaw,
103.214.94.0/24,AT,,Vienna,
103.214.95.0/24,CH,,Bern,
103.221.56.0/24,NL,,Amsterdam,
103.221.57.0/24,BE,,Brussels,
103.221.58.0/24,DK,,Copenhagen,
103.221.59.0/24,NO,,Oslo,
103.228.224.0/26,US,,Denver,
103.228.224.64/26,US,,Portsmouth,
103.228.224.128/25,US,,Boise,
103.228.225.0/24,US,,New York,
103.228.226.0/24,US,,New York,
103.228.227.0/24,US,,New York,
103.66.64.0/25,CZ,,Prague,
103.66.64.128/25,BG,,Sofia,
103.66.65.0/25,HU,,Budapest,
103.66.65.128/25,RS,,Belgrade,
103.66.66.0/25,SI,,Ljubljana,
103.66.66.128/25,BA,,Sarajevo,
103.66.67.0/25,HR,,Zagreb,
103.66.67.128/25,SK,,Bratislava,
103.69.156.0/24,MX,,Mexico City,
103.69.157.0/25,SK,,Bratislava,
103.69.157.128/25,IE,,Dublin,
103.69.158.0/25,FI,,Helsinki,
103.69.158.128/25,SE,,Stockholm,
103.69.159.0/24,NO,,Oslo,
103.73.52.0/24,AU,AU-NSW,Sydney,
103.73.53.0/24,AU,AU-NSW,Sydney,
103.73.54.0/24,AU,AU-NSW,Sydney,
103.73.55.0/24,AU,AU-NSW,Sydney,
103.74.132.0/22,NL,NL-NH,Amsterdam,
103.74.176.0/26,CH,,Bern,
103.74.176.64/26,AT,,Vienna,
103.74.176.128/27,BE,,Brussels,
103.74.176.160/27,ES,,Madrid,
103.74.176.192/27,BR,,Brasilia,
103.74.176.224/27,IT,,Rome,
103.74.177.0/27,FR,,Paris,
103.74.177.32/27,DK,,Copenhagen,
103.74.177.64/27,FI,,Helsinki,
103.74.177.96/27,MX,,Mexico City,
103.74.177.128/28,IN,,New Delhi,
103.74.177.144/28,SE,,Stockholm,
103.74.177.160/28,PL,,Warsaw,
103.74.177.176/28,RU,,Moscow,
103.74.177.192/28,CZ,,Prague,
103.74.177.208/28,HU,,Budapest,
103.74.177.224/28,SG,,Singapore,
103.74.177.240/28,NO,,Oslo,
103.74.178.0/23,US,,New York,
103.75.220.0/22,NL,NL-NH,Amsterdam,
103.76.236.0/22,AU,AU-NSW,Sydney,
119.42.36.0/22,SG,,,
144.48.96.0/24,AU,,Sydney,
144.48.97.0/24,AU,,Sydney,
144.48.98.0/24,KR,,Seoul,
144.48.99.0/24,JP,,Tokyo,
160.238.16.0/22,AU,AU-NSW,Sydney,
192.144.88.0/22,NL,NL-NH,Amsterdam,
43.242.0.0/24,KR,,Seoul,
43.242.1.0/24,KR,,Seoul,
43.242.2.0/24,KR,,Seoul,
43.242.3.0/24,KR,,Seoul,
45.249.104.0/22,SG,,,
45.252.56.0/23,SG,,,
45.252.58.0/23,SG,,,
59.152.84.0/24,FR,,Paris,
59.152.85.0/24,IT,,Rome,
59.152.86.0/24,ES,,Madrid,
59.152.87.0/26,AU,,Perth,
59.152.87.64/26,AU,,Adelaide,
59.152.87.128/26,AU,,Queensland,
59.152.87.192/26,AU,AU-NSW,Sydney,
116.206.48.0/24,MX,,Mexico City,
116.206.49.0/25,CO,,Bogota,
116.206.49.128/25,AR,,Buenos Aires,
116.206.50.0/25,TH,,Bangkok,
116.206.50.128/25,SG,,Singapore,
116.206.51.0/25,FI,,Helsinki,
116.206.51.128/25,NO,,Oslo,
103.211.144.0/24,IT,,Rome,
103.211.145.0/25,ES,,Madrid,
103.211.145.128/25,PT,,Lisbon,
103.211.146.0/25,SI,,Ljubljana,
103.211.146.128/25,GR,,Athens,
103.211.147.0/25,CZ,,Prague,
103.211.147.128/25,HU,,Budapest,
